Function,AUC jDE,Best jDE,AUC iDE,Best iDE
BentCigar,0.4328,0.6188,0.4696,0.6412
Discus,0.438,0.3704,0.4088,0.6644
Ellipsoid,0.3872,0.5076,0.4188,0.7044
Katsuura,0.5156,0.48,0.4004,0.3944
Rastrigin,0.4048,0.5724,0.4408,0.6736
Rosenbrock,0.3904,0.5148,0.328,0.5916
Schaffers,0.4628,0.52,0.5188,0.6204
Schwefel,0.3064,0.4256,0.3244,0.6944
Sphere,0.2052,0.5268,0.3704,0.5888
Weierstrass,0.4908,0.46,0.5404,0.5184
AttractiveSector_5D,0.47,0.582,0.386,0.4668
AttractiveSector_10D,0.338,0.5712,0.532,0.7972
AttractiveSector_20D,0.2336,0.4648,0.9312,0.9328
BuecheRastrigin_5D,0.3352,0.438,0.3916,0.1684
BuecheRastrigin_10D,0.3032,0.4756,0.7532,0.8268
BuecheRastrigin_20D,0.3072,0.5124,0.3372,0.3928
CompositeGR_5D,0.2936,0.4512,0.3252,0.4388
CompositeGR_10D,0.2148,0.3012,0.192,0.3292
CompositeGR_20D,0.102,0.286,0.3824,0.6716
DifferentPowers_5D,0.3444,0.694,0.7072,0.9092
DifferentPowers_10D,0.3252,0.5448,0.4484,0.3972
DifferentPowers_20D,0.3532,0.6524,0.1896,0.4204
LinearSlope_5D,0.3864,0.216,0.5748,0.7704
LinearSlope_10D,0.4996,0.6936,0.694,0.9656
LinearSlope_20D,0.4352,0.6336,0.5088,0.7672
SharpRidge_5D,0.2992,0.6076,0.6444,0.798
SharpRidge_10D,0.4492,0.6808,0.9348,0.976
SharpRidge_20D,0.4144,0.6548,0.4272,0.7512
StepEllipsoidal_5D,0.4216,0.582,0.5524,0.5212
StepEllipsoidal_10D,0.5056,0.7904,0.8128,0.9552
StepEllipsoidal_20D,0.3312,0.6424,0.9484,0.9832
RosenbrockRotated_5D,0.3716,0.6236,0.3612,0.5652
RosenbrockRotated_10D,0.2152,0.5388,0.7312,0.8384
RosenbrockRotated_20D,0.178,0.3568,0.1308,0.3432
SchaffersIllConditioned_5D,0.3508,0.5228,0.2744,0.3428
SchaffersIllConditioned_10D,0.426,0.602,0.2416,0.4568
SchaffersIllConditioned_20D,0.4224,0.53,0.2776,0.392
LunacekBiR_5D,0.3708,0.4004,0.482,0.508
LunacekBiR_10D,0.2968,0.4756,0.3128,0.5432
LunacekBiR_20D,0.2524,0.4176,0.1864,0.384
GG101me_5D,0.4568,0.514,0.5308,0.4408
GG101me_10D,0.3672,0.5868,0.74,0.8108
GG101me_20D,0.2828,0.454,0.2108,0.3004
GG21hi_5D,0.444,0.5728,0.5104,0.5244
GG21hi_10D,0.4628,0.66,0.4632,0.6244
GG21hi_20D,0.4252,0.5028,0.3232,0.496
